상호명,도로명주소,경도,위도
하나비,서울특별시 성북구 삼선교로 20,127.0080727,37.58749467
컴포즈커피고대,서울특별시 성북구 개운사길 22-2,127.0294263,37.5873291
이디야안암래미안점,서울특별시 성북구 보문로30가길 42,127.0220334,37.58900655
카머,서울특별시 성북구 성북로5길 17,127.0040534,37.58881933
써니사이드커피,서울특별시 성북구 고려대로27길 14,127.0299243,37.58693253
올림피코,서울특별시 성북구 보문로26길 71,127.0225652,37.58779011
솜씨공간,서울특별시 성북구 화랑로1길 7,127.0333623,37.60346481
커인스컴퍼니,서울특별시 성북구 종암로19길 99,127.0293173,37.59799687
해모타,서울특별시 성북구 개운사길 60,127.0292458,37.58907707
디터틀,서울특별시 성북구 성북로6길 12,127.0051518,37.58996355
프리스타일,서울특별시 성북구 삼선교로10길 77-1,127.0101556,37.58470143
메가엠지씨커피보문역점,서울특별시 성북구 보문로 124,127.0192021,37.58611486
노리파크성신여대역점,서울특별시 성북구 아리랑로 53,127.0145509,37.59738694
커피스퀘어,서울특별시 성북구 안암로 145,127.0316913,37.58869802
휴그린카페,서울특별시 성북구 개운사길 22-4,127.0295282,37.58733808
천상애장어가,서울특별시 성북구 동소문로6길 22,127.008503,37.58824246
보헤미안커피하우스,서울특별시 성북구 고려대로27길 18,127.0299017,37.58710373
다비,서울특별시 성북구 보문로34가길 9,127.0197471,37.59189914
카페브레송,서울특별시 성북구 고려대로24가길 11,127.0300369,37.58539181
이디야커피성신여대역점,서울특별시 성북구 동소문로17길 40,127.0158977,37.59392696
폴드커피,서울특별시 성북구 종암로 214-3,127.0307939,37.60905164
커피로드,서울특별시 성북구 보문로32길 10,127.0171988,37.58925964
쥬씨월곡,서울특별시 성북구 화랑로 76,127.0404619,37.60183179
플레이스원,서울특별시 성북구 오패산로 79-4,127.0355507,37.60927555
보나때때공방,서울특별시 성북구 정릉로26길 20,127.01137,37.60393749
이디야커피장위뉴타운점,서울특별시 성북구 장월로 144-1,127.0510384,37.61771213
키웨스트커피,서울특별시 성북구 보국문로16길 2,127.0098306,37.61005535
비콤마스테이,서울특별시 성북구 종암로 110,127.034346,37.60009482
황금사탕,서울특별시 성북구 종암로9길 8-10,127.0348876,37.59598614
데이데이,서울특별시 성북구 동소문로22길 14,127.0175958,37.59234097
엠투커피,서울특별시 성북구 보문로 91,127.0200505,37.58342075
카페게이트고대안암점,서울특별시 성북구 고려대로24길 17,127.0295274,37.58543699
복다방,서울특별시 성북구 동소문로 263,127.025175,37.60469218
더텐,서울특별시 성북구 성북로4길 52,127.0127047,37.59446794
경림코퍼레이션주,서울특별시 성북구 성북로31길 5,126.990964,37.59456739
카페051성신여대역점,서울특별시 성북구 동소문로20길 28-4,127.0165765,37.59136805
구월,서울특별시 성북구 보문로30길 43,127.01952,37.58952056
